dataset,model_type,model_name,row_count,mae,rmse,wape,wape_pct,mae_rounded,rmse_rounded
test,final_model,lightgbm,384,549729.789367963,763915.0591079803,0.1749501648061676,17.49501648061676,549729.79,763915.06
test,baseline,yesterday_baseline,384,710548.0245572916,1060668.3912388098,0.2261301759577513,22.61301759577513,710548.02,1060668.39
validation,final_model_candidate,lightgbm,383,490332.4370507268,696490.047756988,0.1773157341772094,17.731573417720938,490332.44,696490.05
validation,baseline,yesterday_baseline,383,628529.9460052219,977989.4537304743,0.2272912016562102,22.72912016562102,628529.95,977989.45
