revenue_group,row_count,actual_sum,phase5_mae,phase9_mae,phase5_abs_error_sum,phase9_abs_error_sum,phase9_win_rate,phase5_wape,phase9_wape,wape_change_phase5_minus_phase9,mae_change_phase5_minus_phase9
low_revenue,128,165093108.45,365211.21077419916,365211.21077419916,46747034.97909749,46747034.97909749,0.1328125,0.2831555806174385,0.2831555806174385,0.0,0.0
mid_revenue,127,303488722.43,422983.31993606704,422983.31993606704,53718881.631880514,53718881.631880514,0.11811023622047244,0.1770045397461872,0.1770045397461872,0.0,0.0
high_revenue,128,590530741.74,682276.6154644559,682276.6154644559,87331406.77945036,87331406.77945036,0.0625,0.14788630058805777,0.14788630058805777,0.0,0.0
