month,row_count,mean_revenue,model_mae,baseline_mae,model_wape,baseline_wape,model_mean_error,model_win_rate
2020-11,6,1543364.9716666667,335612.8161578614,342978.2783333334,0.21745525026101628,0.22222759012273938,-276792.7009988231,0.5
2020-12,31,1408760.1216129034,353085.07608343294,329960.71580645157,0.25063534285679706,0.23422065314333038,-148618.78295776263,0.45161290322580644
2021-01,31,1499132.0780645162,290520.7923758783,341021.385483871,0.19379265951733946,0.22747921312187072,-90324.9036530447,0.4838709677419355
2021-02,28,2359915.663214286,506577.09402072744,684565.2632142856,0.21465898206326242,0.2900803930772189,107269.8194235472,0.7142857142857143
2021-03,31,3654000.2138709677,615834.3203168471,886632.7774193549,0.16853702361019998,0.24264716078931906,163923.36296081968,0.7096774193548387
2021-04,30,4494562.917666667,698092.1742050464,1017929.1446666667,0.15531925728774937,0.2264801190490666,50379.335723542004,0.6
2021-05,31,4615183.7054838715,559259.9726738851,965035.6229032258,0.12117826902737566,0.20910015385878306,25131.784216187752,0.7096774193548387
2021-06,30,4281652.542,706087.433613434,716677.9783333333,0.16491002637117627,0.16738349768067967,-193973.08005771146,0.4666666666666667
2021-07,31,3258112.977419355,466954.6756772038,656339.0793548386,0.14332059045020085,0.20144761213121085,43488.032260652675,0.6129032258064516
2021-08,31,2202581.510322581,445001.6196149092,499714.83709677425,0.2020363911752516,0.22687688730465563,-159628.65161099346,0.6129032258064516
2021-09,30,2494728.342,550697.5344570422,687085.3039999999,0.22074448956456452,0.2754148788196995,-81805.89586125904,0.7
2021-10,31,2119101.166451613,348750.5619498055,449216.63967741944,0.1645747581432275,0.211984518148146,42321.56888078577,0.6774193548387096
2021-11,30,1687949.9153333334,452641.2246043731,475843.6276666667,0.2681603408327351,0.2819062481321893,28157.755745388265,0.5333333333333333
2021-12,12,1128742.3116666668,326026.6062544284,384136.4875,0.2888405997406329,0.3403225727693292,-143308.2644373793,0.5833333333333334
