feature,source_table,feature_family,timing_type,transformation,leakage_risk,expected_impute_method,note
page_views_sum_rolling_7d_mean,unknown,source_lag,lagged,page_views_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: page_views_sum_rolling_7d_mean
page_views_sum_rolling_28d_mean,unknown,source_lag,lagged,page_views_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: page_views_sum_rolling_28d_mean
page_views_sum_rolling_90d_mean,unknown,source_lag,lagged,page_views_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: page_views_sum_rolling_90d_mean
bounce_rate_mean_lag_1d,unknown,source_lag,lagged,bounce_rate_mean_lag_1d,low,train_median,Generated candidate feature: bounce_rate_mean_lag_1d
bounce_rate_mean_lag_7d,unknown,source_lag,lagged,bounce_rate_mean_lag_7d,low,train_median,Generated candidate feature: bounce_rate_mean_lag_7d
bounce_rate_mean_lag_14d,unknown,source_lag,lagged,bounce_rate_mean_lag_14d,low,train_median,Generated candidate feature: bounce_rate_mean_lag_14d
bounce_rate_mean_lag_28d,unknown,source_lag,lagged,bounce_rate_mean_lag_28d,low,train_median,Generated candidate feature: bounce_rate_mean_lag_28d
bounce_rate_mean_lag_365d,unknown,source_lag,lagged,bounce_rate_mean_lag_365d,low,train_median,Generated candidate feature: bounce_rate_mean_lag_365d
bounce_rate_mean_rolling_7d_mean,unknown,source_lag,lagged,bounce_rate_mean_rolling_7d_mean,low,train_median,Generated candidate feature: bounce_rate_mean_rolling_7d_mean
bounce_rate_mean_rolling_28d_mean,unknown,source_lag,lagged,bounce_rate_mean_rolling_28d_mean,low,train_median,Generated candidate feature: bounce_rate_mean_rolling_28d_mean
bounce_rate_mean_rolling_90d_mean,unknown,source_lag,lagged,bounce_rate_mean_rolling_90d_mean,low,train_median,Generated candidate feature: bounce_rate_mean_rolling_90d_mean
sessions_source_direct_lag_1d,unknown,source_lag,lagged,sessions_source_direct_lag_1d,low,fill_0,Generated candidate feature: sessions_source_direct_lag_1d
sessions_source_direct_lag_7d,unknown,source_lag,lagged,sessions_source_direct_lag_7d,low,fill_0,Generated candidate feature: sessions_source_direct_lag_7d
sessions_source_direct_lag_14d,unknown,source_lag,lagged,sessions_source_direct_lag_14d,low,fill_0,Generated candidate feature: sessions_source_direct_lag_14d
sessions_source_direct_lag_28d,unknown,source_lag,lagged,sessions_source_direct_lag_28d,low,fill_0,Generated candidate feature: sessions_source_direct_lag_28d
sessions_source_direct_lag_365d,unknown,source_lag,lagged,sessions_source_direct_lag_365d,low,fill_0,Generated candidate feature: sessions_source_direct_lag_365d
sessions_source_direct_rolling_7d_mean,unknown,source_lag,lagged,sessions_source_direct_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_source_direct_rolling_7d_mean
sessions_source_direct_rolling_28d_mean,unknown,source_lag,lagged,sessions_source_direct_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_source_direct_rolling_28d_mean
sessions_source_direct_rolling_90d_mean,unknown,source_lag,lagged,sessions_source_direct_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_source_direct_rolling_90d_mean
sessions_source_email_campaign_lag_1d,unknown,source_lag,lagged,sessions_source_email_campaign_lag_1d,low,fill_0,Generated candidate feature: sessions_source_email_campaign_lag_1d
sessions_source_email_campaign_lag_7d,unknown,source_lag,lagged,sessions_source_email_campaign_lag_7d,low,fill_0,Generated candidate feature: sessions_source_email_campaign_lag_7d
sessions_source_email_campaign_lag_14d,unknown,source_lag,lagged,sessions_source_email_campaign_lag_14d,low,fill_0,Generated candidate feature: sessions_source_email_campaign_lag_14d
sessions_source_email_campaign_lag_28d,unknown,source_lag,lagged,sessions_source_email_campaign_lag_28d,low,fill_0,Generated candidate feature: sessions_source_email_campaign_lag_28d
sessions_source_email_campaign_lag_365d,unknown,source_lag,lagged,sessions_source_email_campaign_lag_365d,low,fill_0,Generated candidate feature: sessions_source_email_campaign_lag_365d
sessions_source_email_campaign_rolling_7d_mean,unknown,source_lag,lagged,sessions_source_email_campaign_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_source_email_campaign_rolling_7d_mean
sessions_source_email_campaign_rolling_28d_mean,unknown,source_lag,lagged,sessions_source_email_campaign_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_source_email_campaign_rolling_28d_mean
sessions_source_email_campaign_rolling_90d_mean,unknown,source_lag,lagged,sessions_source_email_campaign_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_source_email_campaign_rolling_90d_mean
sessions_source_organic_search_lag_1d,unknown,source_lag,lagged,sessions_source_organic_search_lag_1d,low,fill_0,Generated candidate feature: sessions_source_organic_search_lag_1d
sessions_source_organic_search_lag_7d,unknown,source_lag,lagged,sessions_source_organic_search_lag_7d,low,fill_0,Generated candidate feature: sessions_source_organic_search_lag_7d
sessions_source_organic_search_lag_14d,unknown,source_lag,lagged,sessions_source_organic_search_lag_14d,low,fill_0,Generated candidate feature: sessions_source_organic_search_lag_14d
sessions_source_organic_search_lag_28d,unknown,source_lag,lagged,sessions_source_organic_search_lag_28d,low,fill_0,Generated candidate feature: sessions_source_organic_search_lag_28d
sessions_source_organic_search_lag_365d,unknown,source_lag,lagged,sessions_source_organic_search_lag_365d,low,fill_0,Generated candidate feature: sessions_source_organic_search_lag_365d
sessions_source_organic_search_rolling_7d_mean,unknown,source_lag,lagged,sessions_source_organic_search_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_source_organic_search_rolling_7d_mean
sessions_source_organic_search_rolling_28d_mean,unknown,source_lag,lagged,sessions_source_organic_search_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_source_organic_search_rolling_28d_mean
sessions_source_organic_search_rolling_90d_mean,unknown,source_lag,lagged,sessions_source_organic_search_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_source_organic_search_rolling_90d_mean
