feature,source_table,feature_family,timing_type,transformation,leakage_risk,expected_impute_method,note
item_quantity_sum_rolling_90d_mean,item,source_lag,lagged,item_quantity_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: item_quantity_sum_rolling_90d_mean
gross_item_revenue_sum_lag_1d,item,source_lag,lagged,gross_item_revenue_sum_lag_1d,low,fill_0,Generated candidate feature: gross_item_revenue_sum_lag_1d
gross_item_revenue_sum_lag_7d,item,source_lag,lagged,gross_item_revenue_sum_lag_7d,low,fill_0,Generated candidate feature: gross_item_revenue_sum_lag_7d
gross_item_revenue_sum_lag_14d,item,source_lag,lagged,gross_item_revenue_sum_lag_14d,low,fill_0,Generated candidate feature: gross_item_revenue_sum_lag_14d
gross_item_revenue_sum_lag_28d,item,source_lag,lagged,gross_item_revenue_sum_lag_28d,low,fill_0,Generated candidate feature: gross_item_revenue_sum_lag_28d
gross_item_revenue_sum_lag_365d,item,source_lag,lagged,gross_item_revenue_sum_lag_365d,low,fill_0,Generated candidate feature: gross_item_revenue_sum_lag_365d
gross_item_revenue_sum_rolling_7d_mean,item,source_lag,lagged,gross_item_revenue_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: gross_item_revenue_sum_rolling_7d_mean
gross_item_revenue_sum_rolling_28d_mean,item,source_lag,lagged,gross_item_revenue_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: gross_item_revenue_sum_rolling_28d_mean
gross_item_revenue_sum_rolling_90d_mean,item,source_lag,lagged,gross_item_revenue_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: gross_item_revenue_sum_rolling_90d_mean
discount_amount_sum_lag_1d,unknown,source_lag,lagged,discount_amount_sum_lag_1d,low,fill_0,Generated candidate feature: discount_amount_sum_lag_1d
discount_amount_sum_lag_7d,unknown,source_lag,lagged,discount_amount_sum_lag_7d,low,fill_0,Generated candidate feature: discount_amount_sum_lag_7d
discount_amount_sum_lag_14d,unknown,source_lag,lagged,discount_amount_sum_lag_14d,low,fill_0,Generated candidate feature: discount_amount_sum_lag_14d
discount_amount_sum_lag_28d,unknown,source_lag,lagged,discount_amount_sum_lag_28d,low,fill_0,Generated candidate feature: discount_amount_sum_lag_28d
discount_amount_sum_lag_365d,unknown,source_lag,lagged,discount_amount_sum_lag_365d,low,fill_0,Generated candidate feature: discount_amount_sum_lag_365d
discount_amount_sum_rolling_7d_mean,unknown,source_lag,lagged,discount_amount_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: discount_amount_sum_rolling_7d_mean
discount_amount_sum_rolling_28d_mean,unknown,source_lag,lagged,discount_amount_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: discount_amount_sum_rolling_28d_mean
discount_amount_sum_rolling_90d_mean,unknown,source_lag,lagged,discount_amount_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: discount_amount_sum_rolling_90d_mean
estimated_cogs_sum_lag_1d,unknown,source_lag,lagged,estimated_cogs_sum_lag_1d,low,fill_0,Generated candidate feature: estimated_cogs_sum_lag_1d
estimated_cogs_sum_lag_7d,unknown,source_lag,lagged,estimated_cogs_sum_lag_7d,low,fill_0,Generated candidate feature: estimated_cogs_sum_lag_7d
estimated_cogs_sum_lag_14d,unknown,source_lag,lagged,estimated_cogs_sum_lag_14d,low,fill_0,Generated candidate feature: estimated_cogs_sum_lag_14d
estimated_cogs_sum_lag_28d,unknown,source_lag,lagged,estimated_cogs_sum_lag_28d,low,fill_0,Generated candidate feature: estimated_cogs_sum_lag_28d
estimated_cogs_sum_lag_365d,unknown,source_lag,lagged,estimated_cogs_sum_lag_365d,low,fill_0,Generated candidate feature: estimated_cogs_sum_lag_365d
estimated_cogs_sum_rolling_7d_mean,unknown,source_lag,lagged,estimated_cogs_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: estimated_cogs_sum_rolling_7d_mean
estimated_cogs_sum_rolling_28d_mean,unknown,source_lag,lagged,estimated_cogs_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: estimated_cogs_sum_rolling_28d_mean
estimated_cogs_sum_rolling_90d_mean,unknown,source_lag,lagged,estimated_cogs_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: estimated_cogs_sum_rolling_90d_mean
distinct_product_count_lag_1d,unknown,source_lag,lagged,distinct_product_count_lag_1d,low,fill_0,Generated candidate feature: distinct_product_count_lag_1d
distinct_product_count_lag_7d,unknown,source_lag,lagged,distinct_product_count_lag_7d,low,fill_0,Generated candidate feature: distinct_product_count_lag_7d
distinct_product_count_lag_14d,unknown,source_lag,lagged,distinct_product_count_lag_14d,low,fill_0,Generated candidate feature: distinct_product_count_lag_14d
distinct_product_count_lag_28d,unknown,source_lag,lagged,distinct_product_count_lag_28d,low,fill_0,Generated candidate feature: distinct_product_count_lag_28d
distinct_product_count_lag_365d,unknown,source_lag,lagged,distinct_product_count_lag_365d,low,fill_0,Generated candidate feature: distinct_product_count_lag_365d
distinct_product_count_rolling_7d_mean,unknown,source_lag,lagged,distinct_product_count_rolling_7d_mean,low,fill_0,Generated candidate feature: distinct_product_count_rolling_7d_mean
distinct_product_count_rolling_28d_mean,unknown,source_lag,lagged,distinct_product_count_rolling_28d_mean,low,fill_0,Generated candidate feature: distinct_product_count_rolling_28d_mean
distinct_product_count_rolling_90d_mean,unknown,source_lag,lagged,distinct_product_count_rolling_90d_mean,low,fill_0,Generated candidate feature: distinct_product_count_rolling_90d_mean
return_count_lag_1d,return,source_lag,lagged,return_count_lag_1d,low,fill_0,Generated candidate feature: return_count_lag_1d
return_count_lag_7d,return,source_lag,lagged,return_count_lag_7d,low,fill_0,Generated candidate feature: return_count_lag_7d
return_count_lag_14d,return,source_lag,lagged,return_count_lag_14d,low,fill_0,Generated candidate feature: return_count_lag_14d
return_count_lag_28d,return,source_lag,lagged,return_count_lag_28d,low,fill_0,Generated candidate feature: return_count_lag_28d
return_count_lag_365d,return,source_lag,lagged,return_count_lag_365d,low,fill_0,Generated candidate feature: return_count_lag_365d
return_count_rolling_7d_mean,return,source_lag,lagged,return_count_rolling_7d_mean,low,fill_0,Generated candidate feature: return_count_rolling_7d_mean
return_count_rolling_28d_mean,return,source_lag,lagged,return_count_rolling_28d_mean,low,fill_0,Generated candidate feature: return_count_rolling_28d_mean
return_count_rolling_90d_mean,return,source_lag,lagged,return_count_rolling_90d_mean,low,fill_0,Generated candidate feature: return_count_rolling_90d_mean
return_quantity_sum_lag_1d,return,source_lag,lagged,return_quantity_sum_lag_1d,low,fill_0,Generated candidate feature: return_quantity_sum_lag_1d
return_quantity_sum_lag_7d,return,source_lag,lagged,return_quantity_sum_lag_7d,low,fill_0,Generated candidate feature: return_quantity_sum_lag_7d
return_quantity_sum_lag_14d,return,source_lag,lagged,return_quantity_sum_lag_14d,low,fill_0,Generated candidate feature: return_quantity_sum_lag_14d
return_quantity_sum_lag_28d,return,source_lag,lagged,return_quantity_sum_lag_28d,low,fill_0,Generated candidate feature: return_quantity_sum_lag_28d
return_quantity_sum_lag_365d,return,source_lag,lagged,return_quantity_sum_lag_365d,low,fill_0,Generated candidate feature: return_quantity_sum_lag_365d
return_quantity_sum_rolling_7d_mean,return,source_lag,lagged,return_quantity_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: return_quantity_sum_rolling_7d_mean
return_quantity_sum_rolling_28d_mean,return,source_lag,lagged,return_quantity_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: return_quantity_sum_rolling_28d_mean
return_quantity_sum_rolling_90d_mean,return,source_lag,lagged,return_quantity_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: return_quantity_sum_rolling_90d_mean
refund_amount_sum_lag_1d,unknown,source_lag,lagged,refund_amount_sum_lag_1d,low,fill_0,Generated candidate feature: refund_amount_sum_lag_1d
refund_amount_sum_lag_7d,unknown,source_lag,lagged,refund_amount_sum_lag_7d,low,fill_0,Generated candidate feature: refund_amount_sum_lag_7d
refund_amount_sum_lag_14d,unknown,source_lag,lagged,refund_amount_sum_lag_14d,low,fill_0,Generated candidate feature: refund_amount_sum_lag_14d
refund_amount_sum_lag_28d,unknown,source_lag,lagged,refund_amount_sum_lag_28d,low,fill_0,Generated candidate feature: refund_amount_sum_lag_28d
refund_amount_sum_lag_365d,unknown,source_lag,lagged,refund_amount_sum_lag_365d,low,fill_0,Generated candidate feature: refund_amount_sum_lag_365d
refund_amount_sum_rolling_7d_mean,unknown,source_lag,lagged,refund_amount_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: refund_amount_sum_rolling_7d_mean
refund_amount_sum_rolling_28d_mean,unknown,source_lag,lagged,refund_amount_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: refund_amount_sum_rolling_28d_mean
refund_amount_sum_rolling_90d_mean,unknown,source_lag,lagged,refund_amount_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: refund_amount_sum_rolling_90d_mean
stock_on_hand_sum_lag_1d,unknown,source_lag,lagged,stock_on_hand_sum_lag_1d,low,fill_0,Generated candidate feature: stock_on_hand_sum_lag_1d
stock_on_hand_sum_lag_7d,unknown,source_lag,lagged,stock_on_hand_sum_lag_7d,low,fill_0,Generated candidate feature: stock_on_hand_sum_lag_7d
stock_on_hand_sum_lag_14d,unknown,source_lag,lagged,stock_on_hand_sum_lag_14d,low,fill_0,Generated candidate feature: stock_on_hand_sum_lag_14d
stock_on_hand_sum_lag_28d,unknown,source_lag,lagged,stock_on_hand_sum_lag_28d,low,fill_0,Generated candidate feature: stock_on_hand_sum_lag_28d
stock_on_hand_sum_lag_365d,unknown,source_lag,lagged,stock_on_hand_sum_lag_365d,low,fill_0,Generated candidate feature: stock_on_hand_sum_lag_365d
stock_on_hand_sum_rolling_7d_mean,unknown,source_lag,lagged,stock_on_hand_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: stock_on_hand_sum_rolling_7d_mean
stock_on_hand_sum_rolling_28d_mean,unknown,source_lag,lagged,stock_on_hand_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: stock_on_hand_sum_rolling_28d_mean
stock_on_hand_sum_rolling_90d_mean,unknown,source_lag,lagged,stock_on_hand_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: stock_on_hand_sum_rolling_90d_mean
units_sold_sum_lag_1d,unknown,source_lag,lagged,units_sold_sum_lag_1d,low,fill_0,Generated candidate feature: units_sold_sum_lag_1d
units_sold_sum_lag_7d,unknown,source_lag,lagged,units_sold_sum_lag_7d,low,fill_0,Generated candidate feature: units_sold_sum_lag_7d
units_sold_sum_lag_14d,unknown,source_lag,lagged,units_sold_sum_lag_14d,low,fill_0,Generated candidate feature: units_sold_sum_lag_14d
units_sold_sum_lag_28d,unknown,source_lag,lagged,units_sold_sum_lag_28d,low,fill_0,Generated candidate feature: units_sold_sum_lag_28d
units_sold_sum_lag_365d,unknown,source_lag,lagged,units_sold_sum_lag_365d,low,fill_0,Generated candidate feature: units_sold_sum_lag_365d
units_sold_sum_rolling_7d_mean,unknown,source_lag,lagged,units_sold_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: units_sold_sum_rolling_7d_mean
units_sold_sum_rolling_28d_mean,unknown,source_lag,lagged,units_sold_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: units_sold_sum_rolling_28d_mean
units_sold_sum_rolling_90d_mean,unknown,source_lag,lagged,units_sold_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: units_sold_sum_rolling_90d_mean
stockout_days_sum_lag_1d,unknown,source_lag,lagged,stockout_days_sum_lag_1d,low,fill_0,Generated candidate feature: stockout_days_sum_lag_1d
stockout_days_sum_lag_7d,unknown,source_lag,lagged,stockout_days_sum_lag_7d,low,fill_0,Generated candidate feature: stockout_days_sum_lag_7d
stockout_days_sum_lag_14d,unknown,source_lag,lagged,stockout_days_sum_lag_14d,low,fill_0,Generated candidate feature: stockout_days_sum_lag_14d
stockout_days_sum_lag_28d,unknown,source_lag,lagged,stockout_days_sum_lag_28d,low,fill_0,Generated candidate feature: stockout_days_sum_lag_28d
stockout_days_sum_lag_365d,unknown,source_lag,lagged,stockout_days_sum_lag_365d,low,fill_0,Generated candidate feature: stockout_days_sum_lag_365d
stockout_days_sum_rolling_7d_mean,unknown,source_lag,lagged,stockout_days_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: stockout_days_sum_rolling_7d_mean
stockout_days_sum_rolling_28d_mean,unknown,source_lag,lagged,stockout_days_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: stockout_days_sum_rolling_28d_mean
stockout_days_sum_rolling_90d_mean,unknown,source_lag,lagged,stockout_days_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: stockout_days_sum_rolling_90d_mean
fill_rate_mean_lag_1d,unknown,source_lag,lagged,fill_rate_mean_lag_1d,low,train_median,Generated candidate feature: fill_rate_mean_lag_1d
fill_rate_mean_lag_7d,unknown,source_lag,lagged,fill_rate_mean_lag_7d,low,train_median,Generated candidate feature: fill_rate_mean_lag_7d
fill_rate_mean_lag_14d,unknown,source_lag,lagged,fill_rate_mean_lag_14d,low,train_median,Generated candidate feature: fill_rate_mean_lag_14d
fill_rate_mean_lag_28d,unknown,source_lag,lagged,fill_rate_mean_lag_28d,low,train_median,Generated candidate feature: fill_rate_mean_lag_28d
fill_rate_mean_lag_365d,unknown,source_lag,lagged,fill_rate_mean_lag_365d,low,train_median,Generated candidate feature: fill_rate_mean_lag_365d
fill_rate_mean_rolling_7d_mean,unknown,source_lag,lagged,fill_rate_mean_rolling_7d_mean,low,train_median,Generated candidate feature: fill_rate_mean_rolling_7d_mean
fill_rate_mean_rolling_28d_mean,unknown,source_lag,lagged,fill_rate_mean_rolling_28d_mean,low,train_median,Generated candidate feature: fill_rate_mean_rolling_28d_mean
fill_rate_mean_rolling_90d_mean,unknown,source_lag,lagged,fill_rate_mean_rolling_90d_mean,low,train_median,Generated candidate feature: fill_rate_mean_rolling_90d_mean
inventory_product_count_lag_1d,inventory,source_lag,lagged,inventory_product_count_lag_1d,low,fill_0,Generated candidate feature: inventory_product_count_lag_1d
inventory_product_count_lag_7d,inventory,source_lag,lagged,inventory_product_count_lag_7d,low,fill_0,Generated candidate feature: inventory_product_count_lag_7d
inventory_product_count_lag_14d,inventory,source_lag,lagged,inventory_product_count_lag_14d,low,fill_0,Generated candidate feature: inventory_product_count_lag_14d
inventory_product_count_lag_28d,inventory,source_lag,lagged,inventory_product_count_lag_28d,low,fill_0,Generated candidate feature: inventory_product_count_lag_28d
inventory_product_count_lag_365d,inventory,source_lag,lagged,inventory_product_count_lag_365d,low,fill_0,Generated candidate feature: inventory_product_count_lag_365d
inventory_product_count_rolling_7d_mean,inventory,source_lag,lagged,inventory_product_count_rolling_7d_mean,low,fill_0,Generated candidate feature: inventory_product_count_rolling_7d_mean
inventory_product_count_rolling_28d_mean,inventory,source_lag,lagged,inventory_product_count_rolling_28d_mean,low,fill_0,Generated candidate feature: inventory_product_count_rolling_28d_mean
inventory_product_count_rolling_90d_mean,inventory,source_lag,lagged,inventory_product_count_rolling_90d_mean,low,fill_0,Generated candidate feature: inventory_product_count_rolling_90d_mean
review_count_lag_1d,review,source_lag,lagged,review_count_lag_1d,low,fill_0,Generated candidate feature: review_count_lag_1d
review_count_lag_7d,review,source_lag,lagged,review_count_lag_7d,low,fill_0,Generated candidate feature: review_count_lag_7d
review_count_lag_14d,review,source_lag,lagged,review_count_lag_14d,low,fill_0,Generated candidate feature: review_count_lag_14d
review_count_lag_28d,review,source_lag,lagged,review_count_lag_28d,low,fill_0,Generated candidate feature: review_count_lag_28d
review_count_lag_365d,review,source_lag,lagged,review_count_lag_365d,low,fill_0,Generated candidate feature: review_count_lag_365d
review_count_rolling_7d_mean,review,source_lag,lagged,review_count_rolling_7d_mean,low,fill_0,Generated candidate feature: review_count_rolling_7d_mean
review_count_rolling_28d_mean,review,source_lag,lagged,review_count_rolling_28d_mean,low,fill_0,Generated candidate feature: review_count_rolling_28d_mean
review_count_rolling_90d_mean,review,source_lag,lagged,review_count_rolling_90d_mean,low,fill_0,Generated candidate feature: review_count_rolling_90d_mean
rating_mean_lag_1d,unknown,source_lag,lagged,rating_mean_lag_1d,low,train_median,Generated candidate feature: rating_mean_lag_1d
rating_mean_lag_7d,unknown,source_lag,lagged,rating_mean_lag_7d,low,train_median,Generated candidate feature: rating_mean_lag_7d
rating_mean_lag_14d,unknown,source_lag,lagged,rating_mean_lag_14d,low,train_median,Generated candidate feature: rating_mean_lag_14d
rating_mean_lag_28d,unknown,source_lag,lagged,rating_mean_lag_28d,low,train_median,Generated candidate feature: rating_mean_lag_28d
rating_mean_lag_365d,unknown,source_lag,lagged,rating_mean_lag_365d,low,train_median,Generated candidate feature: rating_mean_lag_365d
rating_mean_rolling_7d_mean,unknown,source_lag,lagged,rating_mean_rolling_7d_mean,low,train_median,Generated candidate feature: rating_mean_rolling_7d_mean
rating_mean_rolling_28d_mean,unknown,source_lag,lagged,rating_mean_rolling_28d_mean,low,train_median,Generated candidate feature: rating_mean_rolling_28d_mean
rating_mean_rolling_90d_mean,unknown,source_lag,lagged,rating_mean_rolling_90d_mean,low,train_median,Generated candidate feature: rating_mean_rolling_90d_mean
low_rating_count_lag_1d,unknown,source_lag,lagged,low_rating_count_lag_1d,low,fill_0,Generated candidate feature: low_rating_count_lag_1d
low_rating_count_lag_7d,unknown,source_lag,lagged,low_rating_count_lag_7d,low,fill_0,Generated candidate feature: low_rating_count_lag_7d
low_rating_count_lag_14d,unknown,source_lag,lagged,low_rating_count_lag_14d,low,fill_0,Generated candidate feature: low_rating_count_lag_14d
low_rating_count_lag_28d,unknown,source_lag,lagged,low_rating_count_lag_28d,low,fill_0,Generated candidate feature: low_rating_count_lag_28d
low_rating_count_lag_365d,unknown,source_lag,lagged,low_rating_count_lag_365d,low,fill_0,Generated candidate feature: low_rating_count_lag_365d
low_rating_count_rolling_7d_mean,unknown,source_lag,lagged,low_rating_count_rolling_7d_mean,low,fill_0,Generated candidate feature: low_rating_count_rolling_7d_mean
low_rating_count_rolling_28d_mean,unknown,source_lag,lagged,low_rating_count_rolling_28d_mean,low,fill_0,Generated candidate feature: low_rating_count_rolling_28d_mean
low_rating_count_rolling_90d_mean,unknown,source_lag,lagged,low_rating_count_rolling_90d_mean,low,fill_0,Generated candidate feature: low_rating_count_rolling_90d_mean
new_customer_count_lag_1d,customer,source_lag,lagged,new_customer_count_lag_1d,low,fill_0,Generated candidate feature: new_customer_count_lag_1d
new_customer_count_lag_7d,customer,source_lag,lagged,new_customer_count_lag_7d,low,fill_0,Generated candidate feature: new_customer_count_lag_7d
new_customer_count_lag_14d,customer,source_lag,lagged,new_customer_count_lag_14d,low,fill_0,Generated candidate feature: new_customer_count_lag_14d
new_customer_count_lag_28d,customer,source_lag,lagged,new_customer_count_lag_28d,low,fill_0,Generated candidate feature: new_customer_count_lag_28d
new_customer_count_lag_365d,customer,source_lag,lagged,new_customer_count_lag_365d,low,fill_0,Generated candidate feature: new_customer_count_lag_365d
new_customer_count_rolling_7d_mean,customer,source_lag,lagged,new_customer_count_rolling_7d_mean,low,fill_0,Generated candidate feature: new_customer_count_rolling_7d_mean
new_customer_count_rolling_28d_mean,customer,source_lag,lagged,new_customer_count_rolling_28d_mean,low,fill_0,Generated candidate feature: new_customer_count_rolling_28d_mean
new_customer_count_rolling_90d_mean,customer,source_lag,lagged,new_customer_count_rolling_90d_mean,low,fill_0,Generated candidate feature: new_customer_count_rolling_90d_mean
